subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
138837,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,0.0121770005145973,0.040441347617078
138837,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.117176705733892,0.484009837980361
141422,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.00461365071216416,0.0110451172239009
141422,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.0367889177031281,-0.0880729673575346
141422,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,-0.0200393016295291,-0.0596672208514458
150423,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0201199510247398,0.0687434416460033
150423,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,0.0099037912794445,0.033838089220771
150423,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.106083582109328,0.450796087872737
158136,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0138890495554095,0.0522645105851851
158136,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.0147780486720641,-0.0556098153562027
158136,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0844022066133386,0.395016986709816
160830,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,-0.000261278525559751,-0.000934879091125138
160830,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,0.00429202459327752,0.0153572668946051
160830,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,-0.0133889616578702,-0.0595835312484737
161832,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,-0.0223306066781156,-0.065925543721302
161832,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,0.0111449124846623,0.0329025729514891
161832,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,-0.0476017300782336,-0.174784753293364
165032,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0056037289878311,0.0186076063750257
165032,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.000195189429822542,-0.000648141279957259
165032,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0465318478257804,0.192172524991721
171330,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,-0.0352487522368159,-0.112263667701672
