subj,is.analysis.group,roi,param,taua
594156,TRUE,vwfa,dphono,-0.0532212885154062
601127,TRUE,vwfa,dphono,-0.0414565826330532
765864,TRUE,vwfa,dphono,-0.0736694677871149
814649,TRUE,vwfa,dphono,-0.0316526610644258
843151,TRUE,vwfa,dphono,0.0910364145658263
849971,TRUE,vwfa,dphono,0.019327731092437
873968,TRUE,vwfa,dphono,-0.0663865546218487
877168,TRUE,vwfa,dphono,0.0507002801120448
DMCC1328342,FALSE,vwfa,dphono,0.0871148459383753
DMCC1596165,FALSE,vwfa,dphono,0.0428571428571429
DMCC1971064,TRUE,vwfa,dphono,-0.0481792717086835
DMCC2442951,TRUE,vwfa,dphono,0.0221288515406162
DMCC2803654,FALSE,vwfa,dphono,-0.0190476190476191
DMCC2834766,FALSE,vwfa,dphono,-0.0521008403361345
DMCC3062542,TRUE,vwfa,dphono,0.00504201680672269
DMCC4191255,FALSE,vwfa,dphono,-0.0747899159663866
DMCC4260551,FALSE,vwfa,dphono,0.0375350140056022
DMCC4854075,TRUE,vwfa,dphono,-0.110924369747899
DMCC5009144,TRUE,vwfa,dphono,-0.00812324929971989
DMCC5195268,FALSE,vwfa,dphono,0.0994397759103641
DMCC5775387,FALSE,vwfa,dphono,0
DMCC6371570,FALSE,vwfa,dphono,0.0302521008403361
DMCC6418065,TRUE,vwfa,dphono,0.128571428571429
DMCC6484785,TRUE,vwfa,dphono,0.113445378151261
DMCC6661074,TRUE,vwfa,dphono,0.00700280112044818
DMCC6671683,TRUE,vwfa,dphono,0.0305322128851541
DMCC6705371,FALSE,vwfa,dphono,0.143697478991597
DMCC6721369,TRUE,vwfa,dphono,0.0490196078431373
DMCC6904377,FALSE,vwfa,dphono,0.0235294117647059
DMCC7297690,TRUE,vwfa,dphono,-0.034733893557423
DMCC7921988,TRUE,vwfa,dphono,-0.0907563025210084
DMCC8033964,TRUE,vwfa,dphono,-0.0456582633053221
DMCC8050964,TRUE,vwfa,dphono,-0.0490196078431373
DMCC8078683,FALSE,vwfa,dphono,0.133053221288515
DMCC9441378,TRUE,vwfa,dphono,-0.00588235294117647
DMCC9478705,TRUE,vwfa,dphono,0.0350140056022409
DMCC9953810,TRUE,vwfa,dphono,-0.092436974789916
107321,TRUE,vwfa,cielab,0.0512605042016807
115825,FALSE,vwfa,cielab,0.0666666666666667
123117,TRUE,vwfa,cielab,-0.00952380952380953
130114,TRUE,vwfa,cielab,0.0145658263305322
130518,FALSE,vwfa,cielab,0.0759103641456583
132017,TRUE,vwfa,cielab,-0.0140056022408964
138837,TRUE,vwfa,cielab,0.0509803921568627
141422,TRUE,vwfa,cielab,0.0294117647058824
150423,TRUE,vwfa,cielab,0.0509803921568627
158136,TRUE,vwfa,cielab,-0.0557422969187675
160830,TRUE,vwfa,cielab,-0.0246498599439776
161832,TRUE,vwfa,cielab,-0.038375350140056
165032,TRUE,vwfa,cielab,-0.128011204481793
171330,TRUE,vwfa,cielab,0.0442577030812325
178243,TRUE,vwfa,cielab,0.11624649859944
178647,FALSE,vwfa,cielab,-0.0714285714285714
178950,TRUE,vwfa,cielab,0.00224089635854342
182436,TRUE,vwfa,cielab,-0.080672268907563
197449,TRUE,vwfa,cielab,-0.0565826330532213
203418,TRUE,vwfa,cielab,0.0100840336134454
204319,TRUE,vwfa,cielab,0.0630252100840336
233326,FALSE,vwfa,cielab,0.0109243697478992
300618,TRUE,vwfa,cielab,-0.00280112044817927
317332,TRUE,vwfa,cielab,0.10140056022409
346945,TRUE,vwfa,cielab,0.101680672268908
352738,TRUE,vwfa,cielab,0.0338935574229692
393550,FALSE,vwfa,cielab,-0.0627450980392157
448347,TRUE,vwfa,cielab,-0.0787114845938375
580650,TRUE,vwfa,cielab,-0.0571428571428571
