subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
130518,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.0323858591560056,-0.0865191684913341
130518,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,-0.044645569132578,-0.146076685887215
132017,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0384524763921615,0.133952786167711
132017,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.0224612812379848,0.0782459671007809
132017,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0333090568695706,0.142113521949926
138837,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0579601049151717,0.192492785722306
138837,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.0175595870837695,0.0583175934349185
138837,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0908838722819793,0.369673012733484
141422,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0060147406319009,0.0143993378552801
141422,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.0353878277833913,-0.0847187467261554
141422,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,-0.0016131112963441,-0.00472972161400504
150423,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0253917676976111,0.0867555541692562
150423,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.0151756079523157,0.0518502017440241
150423,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0846726910918913,0.354318104950315
158136,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0172093742209908,0.064758896391659
158136,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.0114577240064829,-0.0431154295497287
158136,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0621230513001568,0.286307529051098
160830,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,-0.00232583797790229,-0.00832206661541478
160830,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.00222746514093498,0.00797007937031541
160830,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,-0.0190818375429904,-0.0836214230030431
161832,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,-0.0250729043016341,-0.0740214931275162
161832,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.00840261486114384,0.0248066235452748
161832,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,-0.0402546507802279,-0.145550898619179
165032,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.00683040135924044,0.0226808648584163
165032,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.00103148294158678,0.00342511720343337
165032,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0306259581413463,0.124551425130285
171330,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,-0.0355561517802624,-0.11324270378117
171330,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.0101128980292604,-0.0322085450353042
171330,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0106697533105458,0.0416193685295507
178243,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0437774250638292,0.154223695148776
