param,roi,du,dl,p
target,AAIC_L,0.0683119460029893,0.000210207493301695,0.0683119460029893
target,AAIC_R,0.342990307072263,1.16694743628187e-05,0.342990307072263
target,AIP_L,0.476420481455387,3.18792858777784e-07,0.476420481455387
target,AIP_R,0.852744091573031,6.62165167142349e-08,0.852744091573031
target,AVI_L,0.634990855030521,7.05009176371619e-07,0.634990855030521
target,AVI_R,0.608743312634273,3.41138497006455e-07,0.608743312634273
target,d23ab_L,0.106051165153806,0.000177322251849077,0.106051165153806
target,d23ab_R,0.000177322251849077,0.0526687776327997,0.0526687776327997
target,d32_L,0.535344000702633,5.09053521113856e-07,0.535344000702633
target,d32_R,0.726381266884662,1.40910847079567e-06,0.726381266884662
target,DVT_L,0.433459023251846,8.45569548069136e-06,0.433459023251846
target,DVT_R,0.664238733514972,2.22496172597176e-08,0.664238733514972
target,EC_L,0.0795522239229794,4.13589876160359e-05,0.0795522239229794
target,EC_R,0.0213712272626783,0.00249124170730042,0.0213712272626783
target,FEF_L,0.653373697738761,4.172724370477e-07,0.653373697738761
target,FEF_R,0.997065830035323,8.83922268712924e-10,0.997065830035323
target,FFC_L,0.627548759436971,9.10284944311003e-07,0.627548759436971
target,FFC_R,0.578146047337533,2.73058966904216e-06,0.578146047337533
target,FOP1_L,0.601147937391064,4.45991799935542e-07,0.601147937391064
target,FOP1_R,0.445120703554112,1.96705643773498e-07,0.445120703554112
target,FOP2_L,0.0710022474508971,1.40910847079567e-06,0.0710022474508971
target,FOP2_R,0.021901204544454,0.000840795822115936,0.021901204544454
target,FOP3_L,0.574284579076265,6.19423881076387e-07,0.574284579076265
target,FOP3_R,0.671408590026992,2.10950650725295e-07,0.671408590026992
target,FOP4_L,0.752080926877119,4.88676672460998e-08,0.752080926877119
target,FOP4_R,0.804949667592432,3.06268113092756e-08,0.804949667592432
target,FOP5_L,0.831156735399464,1.74306542533032e-08,0.831156735399464
target,FOP5_R,0.531425374312649,1.48237521813144e-07,0.531425374312649
target,FST_L,0.646060229101702,5.09053521113856e-07,0.646060229101702
target,FST_R,0.433459023251846,3.87551946090526e-08,0.433459023251846
target,H_L,0.149560509690096,0.000201501852131969,0.149560509690096
target,H_R,0.280239896780639,4.33814190081705e-06,0.280239896780639
target,i6-8_L,0.554879296445888,1.09948349269473e-06,0.554879296445888
target,i6-8_R,0.290312186981456,2.79487861440941e-05,0.290312186981456
target,IFJa_L,0.410315138413997,4.85925149540379e-06,0.410315138413997
